"file","page","category","keyword","snippet"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","3","Collaboration","assist","y establish such rules as it determines necessary or proper to conduct the SAB’s business which are not contrary to XXII’s Bylaws, Corporate Governance Guidelines, policies or legal requirements. 3.3 Assistance from Management and Third Parties The SAB will have reasonable access to, and complete and open communication with the Company’s Management and access to XXII’s corporate records. In addressing S"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","3","Collaboration","assist","reasonable access to, and complete and open communication with the Company’s Management and access to XXII’s corporate records. In addressing SAB business, the SAB may request advice and appropriate assistance from Company employees and third parties, including advisers and consultants. 4. RESPONSIBILITIES The Board appoints the members of the SAB, but the SAB and its members are not agents of the Boar"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","3","R&D Strategy","innovation","ing responsibilities, in addition to any responsibilities assigned to the SAB from time to time by the Board: • Providing advice and recommendations regarding XXII scientific research, technology and innovation strategies and opportunities including potential partnerships and M&A; • Providing strategic advice regarding emerging science and technology issues and trends; • Performing such other functions as m"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","3","Collaboration","recommend","shorter notice as the Chair deems appropriate in the circumstances. Meeting minutes will identify all persons in attendance and adequately reflect all matters considered and any recommendations and advice made by the SAB. Meeting minutes should be prepared within a reasonable time after each meeting and may be approved through electronic voting. SAB records and minutes will be maintai"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","3","Collaboration","recommend","advisor to the Board and management, the SAB shall have the following responsibilities, in addition to any responsibilities assigned to the SAB from time to time by the Board: • Providing advice and recommendations regarding XXII scientific research, technology and innovation strategies and opportunities including potential partnerships and M&A; • Providing strategic advice regarding emerging science and"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","3","Legal/Compliance/Risk","laws","cretary in accordance with XXII’s record retention requirements. The SAB may establish such rules as it determines necessary or proper to conduct the SAB’s business which are not contrary to XXII’s Bylaws, Corporate Governance Guidelines, policies or legal requirements. 3.3 Assistance from Management and Third Parties The SAB will have reasonable access to, and complete and open communication with the"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","3","Control","governance","dance with XXII’s record retention requirements. The SAB may establish such rules as it determines necessary or proper to conduct the SAB’s business which are not contrary to XXII’s Bylaws, Corporate Governance Guidelines, policies or legal requirements. 3.3 Assistance from Management and Third Parties The SAB will have reasonable access to, and complete and open communication with the Company’s Management"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","3","Collaboration","partnership","signed to the SAB from time to time by the Board: • Providing advice and recommendations regarding XXII scientific research, technology and innovation strategies and opportunities including potential partnerships and M&A; • Providing strategic advice regarding emerging science and technology issues and trends; • Performing such other functions as may be deemed necessary or convenient in efficiently carrying"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","4","Collaboration","consult","itation the advisor agreement entered into between the Company and each member of the SAB, no member of the SAB shall (i) disclose such confidential information to any person other than an advisor or consultant who is under a duty to maintain such information as confidential, and (ii) use such confidential information for any purpose other than fulfilling his or her responsibilities hereunder. 6. CHARTER"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","4","Legal/Compliance/Risk","review","ho is under a duty to maintain such information as confidential, and (ii) use such confidential information for any purpose other than fulfilling his or her responsibilities hereunder. 6. CHARTER 6.1 Review At least annually, the SAB shall review and assess the adequacy of this Charter and recommend changes to the Board for approval. Revision Date Comments Implementation of New Board Charter. 11/30/2020"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","4","Legal/Compliance/Risk","review","rmation as confidential, and (ii) use such confidential information for any purpose other than fulfilling his or her responsibilities hereunder. 6. CHARTER 6.1 Review At least annually, the SAB shall review and assess the adequacy of this Charter and recommend changes to the Board for approval. Revision Date Comments Implementation of New Board Charter. 11/30/2020 4"
"22nd Century Group INc_Scientific Advisory Board_committee charter.pdf","4","Collaboration","recommend","tial information for any purpose other than fulfilling his or her responsibilities hereunder. 6. CHARTER 6.1 Review At least annually, the SAB shall review and assess the adequacy of this Charter and recommend changes to the Board for approval. Revision Date Comments Implementation of New Board Charter. 11/30/2020 4"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","1","Product/Project-Specific","development","the Science and Technology Committee (the “Committee”) of the Board is to assist the Board’s oversight of the strategic direction of the Company’s science and technology, as well as its research and development activities (both translational and clinical). In addition to the powers and responsibilities expressly delegated to the Committee in this Charter, the Committee may exercise any other powers and carr"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","1","Collaboration","strategic direction",", on November 25, 2020, and last amended on September 30, 2025. I. Purpose The purpose of the Science and Technology Committee (the “Committee”) of the Board is to assist the Board’s oversight of the strategic direction of the Company’s science and technology, as well as its research and development activities (both translational and clinical). In addition to the powers and responsibilities expressly delegated to th"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","1","R&D Strategy","research and development","he purpose of the Science and Technology Committee (the “Committee”) of the Board is to assist the Board’s oversight of the strategic direction of the Company’s science and technology, as well as its research and development activities (both translational and clinical). In addition to the powers and responsibilities expressly delegated to the Committee in this Charter, the Committee may exercise any other powers and carr"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","1","Collaboration","assist","Delaware corporation (the “Company”), on November 25, 2020, and last amended on September 30, 2025. I. Purpose The purpose of the Science and Technology Committee (the “Committee”) of the Board is to assist the Board’s oversight of the strategic direction of the Company’s science and technology, as well as its research and development activities (both translational and clinical). In addition to the powe"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","1","Control","oversight","n (the “Company”), on November 25, 2020, and last amended on September 30, 2025. I. Purpose The purpose of the Science and Technology Committee (the “Committee”) of the Board is to assist the Board’s oversight of the strategic direction of the Company’s science and technology, as well as its research and development activities (both translational and clinical). In addition to the powers and responsibilitie"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","1","Legal/Compliance/Risk","laws","ttee may exercise any other powers and carry out any other responsibilities delegated to it by the Board from time to time consistent with this Charter, the purposes of the Committee, the Company’s bylaws (as in effect from time to time) and applicable law. The powers and responsibilities delegated by the Board to the Committee in this Charter or otherwise shall be exercised and carried out by the Com"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","1","Legal/Compliance/Risk","laws","gs. The Committee shall have the authority to establish its own rules and procedures for notice and conduct of its meetings so long as they are not inconsistent with any provisions of the Company’s bylaws that are applicable to the Committee. The Committee should meet as often as it determines advisable to fulfill its duties and responsibilities. Meetings of the Committee may be called by the Chair up"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Product/Project-Specific","development","ging its responsibilities, the Committee shall: (a) Review, evaluate and advise the Board on the overall strategy, direction and effectiveness of the Company’s technology, as well as its research and development programs (both translational and clinical), and related investments, and on the Company’s progress in achieving its short-term and long-term technology and strategic research and development (both tr"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Product/Project-Specific","development","arch and development programs (both translational and clinical), and related investments, and on the Company’s progress in achieving its short-term and long-term technology and strategic research and development (both translational and clinical) goals and objectives. (b) Monitor and evaluate trends in technologies relevant to the Company’s present and future business, and report to the Board and management r"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Product/Project-Specific","development","nd management on the soundness, competitiveness, opportunities and risks associated with the products, programs and technologies in which the Company is, or is considering, investing its research and development efforts. (d) Review and advise the Board on the Company’s current and potential internal and external programs and investments in science and technology. For any external programs and investments in"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Product/Project-Specific","development","ed to provide the Board and management with its advice prior to such Board action. (e) Regularly review and make recommendations to the Board and management with respect to the Company’s research and development pipeline. 2 US-DOCS\164028032.2"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Control","monitor","ated investments, and on the Company’s progress in achieving its short-term and long-term technology and strategic research and development (both translational and clinical) goals and objectives. (b) Monitor and evaluate trends in technologies relevant to the Company’s present and future business, and report to the Board and management regarding such technologies for building the Company’s technological"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Collaboration","collaboration","and potential internal and external programs and investments in science and technology. For any external programs and investments in products and technologies (e.g., potential licenses, acquisitions, collaborations or equity investments) that require approval by the Board, the Committee may be asked to provide the Board and management with its advice prior to such Board action. (e) Regularly review and make re"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","R&D Strategy","pipeline","e the Board and management with its advice prior to such Board action. (e) Regularly review and make recommendations to the Board and management with respect to the Company’s research and development pipeline. 2 US-DOCS\164028032.2"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Legal/Compliance/Risk","review","ittee shall have generalized supervisory responsibilities, along with the Board, for the Company’s investments in science and technology. In discharging its responsibilities, the Committee shall: (a) Review, evaluate and advise the Board on the overall strategy, direction and effectiveness of the Company’s technology, as well as its research and development programs (both translational and clinical), an"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Legal/Compliance/Risk","review","dness, competitiveness, opportunities and risks associated with the products, programs and technologies in which the Company is, or is considering, investing its research and development efforts. (d) Review and advise the Board on the Company’s current and potential internal and external programs and investments in science and technology. For any external programs and investments in products and technol"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Legal/Compliance/Risk","review","ons, collaborations or equity investments) that require approval by the Board, the Committee may be asked to provide the Board and management with its advice prior to such Board action. (e) Regularly review and make recommendations to the Board and management with respect to the Company’s research and development pipeline. 2 US-DOCS\164028032.2"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","R&D Strategy","research and development","y. In discharging its responsibilities, the Committee shall: (a) Review, evaluate and advise the Board on the overall strategy, direction and effectiveness of the Company’s technology, as well as its research and development programs (both translational and clinical), and related investments, and on the Company’s progress in achieving its short-term and long-term technology and strategic research and development (both tr"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","R&D Strategy","research and development","l as its research and development programs (both translational and clinical), and related investments, and on the Company’s progress in achieving its short-term and long-term technology and strategic research and development (both translational and clinical) goals and objectives. (b) Monitor and evaluate trends in technologies relevant to the Company’s present and future business, and report to the Board and management r"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","R&D Strategy","research and development","e the Board and management on the soundness, competitiveness, opportunities and risks associated with the products, programs and technologies in which the Company is, or is considering, investing its research and development efforts. (d) Review and advise the Board on the Company’s current and potential internal and external programs and investments in science and technology. For any external programs and investments in"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","R&D Strategy","research and development","ee may be asked to provide the Board and management with its advice prior to such Board action. (e) Regularly review and make recommendations to the Board and management with respect to the Company’s research and development pipeline. 2 US-DOCS\164028032.2"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Collaboration","advise","ralized supervisory responsibilities, along with the Board, for the Company’s investments in science and technology. In discharging its responsibilities, the Committee shall: (a) Review, evaluate and advise the Board on the overall strategy, direction and effectiveness of the Company’s technology, as well as its research and development programs (both translational and clinical), and related investments"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Collaboration","advise","hnologies relevant to the Company’s present and future business, and report to the Board and management regarding such technologies for building the Company’s technological strength. (c) Evaluate and advise the Board and management on the soundness, competitiveness, opportunities and risks associated with the products, programs and technologies in which the Company is, or is considering, investing its r"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Collaboration","advise","etitiveness, opportunities and risks associated with the products, programs and technologies in which the Company is, or is considering, investing its research and development efforts. (d) Review and advise the Board on the Company’s current and potential internal and external programs and investments in science and technology. For any external programs and investments in products and technologies (e.g."
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Control","evaluate","all have generalized supervisory responsibilities, along with the Board, for the Company’s investments in science and technology. In discharging its responsibilities, the Committee shall: (a) Review, evaluate and advise the Board on the overall strategy, direction and effectiveness of the Company’s technology, as well as its research and development programs (both translational and clinical), and related"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Control","evaluate","ents, and on the Company’s progress in achieving its short-term and long-term technology and strategic research and development (both translational and clinical) goals and objectives. (b) Monitor and evaluate trends in technologies relevant to the Company’s present and future business, and report to the Board and management regarding such technologies for building the Company’s technological strength. (c)"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Control","evaluate","trends in technologies relevant to the Company’s present and future business, and report to the Board and management regarding such technologies for building the Company’s technological strength. (c) Evaluate and advise the Board and management on the soundness, competitiveness, opportunities and risks associated with the products, programs and technologies in which the Company is, or is considering, inve"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Collaboration","assist","ieves to be desirable and appropriate and has the authority to approve related fees and retention terms. The Committee shall have access to internal advisors and other resources within the Company to assist it in carrying out its duties and responsibilities. IV. Duties and Responsibilities 1. Science and Technology Matters. The Committee shall have generalized supervisory responsibilities, along with th"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","R&D Strategy","competitiveness","ture business, and report to the Board and management regarding such technologies for building the Company’s technological strength. (c) Evaluate and advise the Board and management on the soundness, competitiveness, opportunities and risks associated with the products, programs and technologies in which the Company is, or is considering, investing its research and development efforts. (d) Review and advise the"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Control","risk","ard and management regarding such technologies for building the Company’s technological strength. (c) Evaluate and advise the Board and management on the soundness, competitiveness, opportunities and risks associated with the products, programs and technologies in which the Company is, or is considering, investing its research and development efforts. (d) Review and advise the Board on the Company’s c"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Product/Project-Specific","product","ng such technologies for building the Company’s technological strength. (c) Evaluate and advise the Board and management on the soundness, competitiveness, opportunities and risks associated with the products, programs and technologies in which the Company is, or is considering, investing its research and development efforts. (d) Review and advise the Board on the Company’s current and potential internal"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Product/Project-Specific","product","efforts. (d) Review and advise the Board on the Company’s current and potential internal and external programs and investments in science and technology. For any external programs and investments in products and technologies (e.g., potential licenses, acquisitions, collaborations or equity investments) that require approval by the Board, the Committee may be asked to provide the Board and management wit"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Collaboration","recommend","ons or equity investments) that require approval by the Board, the Committee may be asked to provide the Board and management with its advice prior to such Board action. (e) Regularly review and make recommendations to the Board and management with respect to the Company’s research and development pipeline. 2 US-DOCS\164028032.2"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Legal/Compliance/Risk","laws","by the Company’s certificate of incorporation or bylaws (each as in effect from time to time). Unless otherwise restricted by the Company’s bylaws, any action required or permitted to be taken at any meeting of the Committee may be taken without a meeting"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Legal/Compliance/Risk","laws","by the Company’s certificate of incorporation or bylaws (each as in effect from time to time). Unless otherwise restricted by the Company’s bylaws, any action required or permitted to be taken at any meeting of the Committee may be taken without a meeting if all members of the Committee consent thereto in writing (including by electronic transm"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Product/Project-Specific","program","ponsibilities, the Committee shall: (a) Review, evaluate and advise the Board on the overall strategy, direction and effectiveness of the Company’s technology, as well as its research and development programs (both translational and clinical), and related investments, and on the Company’s progress in achieving its short-term and long-term technology and strategic research and development (both translatio"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Product/Project-Specific","program","chnologies for building the Company’s technological strength. (c) Evaluate and advise the Board and management on the soundness, competitiveness, opportunities and risks associated with the products, programs and technologies in which the Company is, or is considering, investing its research and development efforts. (d) Review and advise the Board on the Company’s current and potential internal and exter"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Product/Project-Specific","program","d technologies in which the Company is, or is considering, investing its research and development efforts. (d) Review and advise the Board on the Company’s current and potential internal and external programs and investments in science and technology. For any external programs and investments in products and technologies (e.g., potential licenses, acquisitions, collaborations or equity investments) that"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","2","Product/Project-Specific","program","its research and development efforts. (d) Review and advise the Board on the Company’s current and potential internal and external programs and investments in science and technology. For any external programs and investments in products and technologies (e.g., potential licenses, acquisitions, collaborations or equity investments) that require approval by the Board, the Committee may be asked to provide"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","3","Legal/Compliance/Risk","review","e Governance Committee of the Board (the “Nominating and Corporate Governance Committee”) if deemed appropriate, perform an evaluation of the performance of the Committee and its members, including a review of the Committee’s compliance with this Charter, and provide any written material with respect to such evaluation to the Board or the Nominating and Corporate Governance Committee, as appropriate, in"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","3","Legal/Compliance/Risk","review","t to such evaluation to the Board or the Nominating and Corporate Governance Committee, as appropriate, including any recommendations for changes in procedures or policies governing the Committee. 3. Review of this Charter. The Committee shall periodically review and reassess this Charter and submit any recommended changes to the Board for its consideration. V. Delegation of Duties In fulfilling its res"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","3","Legal/Compliance/Risk","review","orporate Governance Committee, as appropriate, including any recommendations for changes in procedures or policies governing the Committee. 3. Review of this Charter. The Committee shall periodically review and reassess this Charter and submit any recommended changes to the Board for its consideration. V. Delegation of Duties In fulfilling its responsibilities, the Committee has the authority to delegat"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","3","Control","compliance","the Board (the “Nominating and Corporate Governance Committee”) if deemed appropriate, perform an evaluation of the performance of the Committee and its members, including a review of the Committee’s compliance with this Charter, and provide any written material with respect to such evaluation to the Board or the Nominating and Corporate Governance Committee, as appropriate, including any recommendations fo"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","3","Collaboration","recommend","ittee’s compliance with this Charter, and provide any written material with respect to such evaluation to the Board or the Nominating and Corporate Governance Committee, as appropriate, including any recommendations for changes in procedures or policies governing the Committee. 3. Review of this Charter. The Committee shall periodically review and reassess this Charter and submit any recommended changes to"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","3","Collaboration","recommend","ncluding any recommendations for changes in procedures or policies governing the Committee. 3. Review of this Charter. The Committee shall periodically review and reassess this Charter and submit any recommended changes to the Board for its consideration. V. Delegation of Duties In fulfilling its responsibilities, the Committee has the authority to delegate any or all of its responsibilities to a subcommit"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","3","Control","governance","2. Committee Self-Evaluation. The Committee shall, periodically and with input from the Nominating and Corporate Governance Committee of the Board (the “Nominating and Corporate Governance Committee”) if deemed appropriate, perform an evaluation of the performance of the Committee and its members, including a review of th"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","3","Control","governance","2. Committee Self-Evaluation. The Committee shall, periodically and with input from the Nominating and Corporate Governance Committee of the Board (the “Nominating and Corporate Governance Committee”) if deemed appropriate, perform an evaluation of the performance of the Committee and its members, including a review of the Committee’s compliance with this Charter, and provide any writt"
"4DMolecular Ther - Science and Technology Committee Charter.pdf","3","Control","governance","ttee and its members, including a review of the Committee’s compliance with this Charter, and provide any written material with respect to such evaluation to the Board or the Nominating and Corporate Governance Committee, as appropriate, including any recommendations for changes in procedures or policies governing the Committee. 3. Review of this Charter. The Committee shall periodically review and reassess"
"Aclaris_Research and Development Committee Charter.pdf","1","Product/Project-Specific","development","ACLARIS THERAPEUTICS, INC. CHARTER OF THE RESEARCH AND DEVELOPMENT COMMITTEE OF THE BOARD OF DIRECTORS PURPOSE The purpose of the Research and Development Committee (the “Committee”) of the Board of Directors (the “Board”) of Aclaris Therapeutics, Inc. (the “Company"
"Aclaris_Research and Development Committee Charter.pdf","1","Product/Project-Specific","development","ACLARIS THERAPEUTICS, INC. CHARTER OF THE RESEARCH AND DEVELOPMENT COMMITTEE OF THE BOARD OF DIRECTORS PURPOSE The purpose of the Research and Development Committee (the “Committee”) of the Board of Directors (the “Board”) of Aclaris Therapeutics, Inc. (the “Company”) is to oversee the Company’s research and development (“R&D”) strategy and related act"
"Aclaris_Research and Development Committee Charter.pdf","1","Product/Project-Specific","development","The purpose of the Research and Development Committee (the “Committee”) of the Board of Directors (the “Board”) of Aclaris Therapeutics, Inc. (the “Company”) is to oversee the Company’s research and development (“R&D”) strategy and related activities. The Committee shall act on behalf of the Board in such R&D matters and undertake such other duties and responsibilities as the Board shall require from time t"
"Aclaris_Research and Development Committee Charter.pdf","1","R&D Strategy","r&d","f the Research and Development Committee (the “Committee”) of the Board of Directors (the “Board”) of Aclaris Therapeutics, Inc. (the “Company”) is to oversee the Company’s research and development (“R&D”) strategy and related activities. The Committee shall act on behalf of the Board in such R&D matters and undertake such other duties and responsibilities as the Board shall require from time to time"
